Decade,Period,Region,Estimated_Avg_IQ,Change_From_Previous_Decade,Trend,Key_Factors,Source
1900s,1900-1909,Global,70,+0 (baseline),Stable,"Poor nutrition, limited education, high disease rates; pre-Flynn baseline.",Lynn & Vanhanen (2002); Flynn Effect Meta-Analysis
1900s,1900-1909,USA,72,+0 (baseline),Stable,"Industrialization early stages; low literacy ~80%.",US Military Tests
1900s,1900-1909,UK,70,+0 (baseline),Stable,"Victorian era constraints; malnutrition common.",Flynn (1987)
1910s,1910-1919,Global,73,+3,Increasing,"Early 20th-century hygiene improvements; basic schooling expansion.",Pietschnig & Voracek (2015)
1910s,1910-1919,USA,75,+3,Increasing,"WWI draft tests show baseline rise; urbanization.",US Army Alpha/Beta Tests
1910s,1910-1919,UK,72,+2,Increasing,"Education Act 1918 boosts access.",UK Cohort Studies
1920s,1920-1929,Global,76,+3,Increasing,"Post-WWI recovery; nutrition gains from agriculture.",Trahan et al. (2014)
1920s,1920-1929,USA,78,+3,Increasing,"Roaring Twenties; rising literacy to 90%.",Wechsler Norms
1920s,1920-1929,UK,75,+3,Increasing,"Economic boom aids cognitive development.",Flynn (2009)
1930s,1930-1939,Global,79,+3,Increasing,"Depression era but health reforms begin.",Pietschnig & Voracek (2015)
1930s,1930-1939,USA,81,+3,Increasing,"New Deal education initiatives.",Northwestern Study (2023)
1930s,1930-1939,UK,78,+3,Increasing,"Beveridge Report precursors.",UK Longitudinal Data
1940s,1940-1949,Global,82,+3,Increasing,"WWII medical advances; antibiotics.",Trahan et al. (2014)
1940s,1940-1949,USA,84,+3,Increasing,"GI Bill post-war education surge.",US Census IQ Estimates
1940s,1940-1949,UK,81,+3,Increasing,"NHS founding (1948).",Flynn (2009)
1950s,1950-1959,Global,85,+3,Increasing,"Post-war boom; global literacy ~60%.",Lynn & Vanhanen (2002)
1950s,1950-1959,USA,87,+3,Increasing,"Baby boom; school enrollment 90%.",Wechsler Scales
1950s,1950-1959,UK,84,+3,Increasing,"Comprehensive education reforms.",UK Cohort Studies
1960s,1960-1969,Global,88,+3,Increasing,"Green Revolution; vaccines widespread.",Pietschnig & Voracek (2015)
1960s,1960-1969,USA,90,+3,Increasing,"Space race education push.",Northwestern Study (2023)
1960s,1960-1969,UK,87,+3,Increasing,"1960s cultural shifts; higher ed access.",Flynn (2009)
1970s,1970-1979,Global,91,+3,Increasing,"Peak Flynn; global GDP growth correlates.",Trahan et al. (2014)
1970s,1970-1979,USA,93,+3,Increasing,"Civil Rights era equity in education.",US NAEP Data
1970s,1970-1979,UK,90,+3,Increasing,"1970s oil crisis but education stable.",UK Longitudinal Data
1980s,1980-1989,Global,94,+3,Increasing,"Tech boom begins; literacy ~80% global.",Pietschnig & Voracek (2015)
1980s,1980-1989,USA,96,+3,Increasing,"Reagan-era reforms; computer literacy.",Wechsler Norms
1980s,1980-1989,UK,93,+3,Increasing,"Thatcher policies; university expansion.",Flynn (2009)
1990s,1990-1999,Global,97,+3,Increasing,"Internet early adoption; Flynn peak.",Lynn & Vanhanen (2002)
1990s,1990-1999,USA,99,+3,Increasing,"Clinton tech investments.",Northwestern Study (2023)
1990s,1990-1999,UK,96,+3,Increasing,"Blair education targets met.",UK Cohort Studies
2000s,2000-2009,Global,98,+1,Slowing,"Digital saturation; early reversal hints.",Bratsberg & Rogeberg (2018)
2000s,2000-2009,USA,100,+1,Slowing,"No Child Left Behind; but screen time rises.",US NAEP & SAPA Project
2000s,2000-2009,UK,97,+1,Slowing,"Early signs of verbal decline.",Flynn (2009)
2010s,2010-2019,Global,96,-2,Decreasing,"Reverse Flynn; social media, pollution.",Dutton et al. (2016); Pietschnig (2023)
2010s,2010-2019,USA,98,-2,Decreasing,"-0.3 pts/year in verbal/math; spatial +.",Northwestern (2023); SAPA Project
2010s,2010-2019,UK,95,-2,Decreasing,"Teen IQ drop 2+ pts; education stagnation.",Flynn (2009 Update)
2020s,2020-2025,Global,94,-2,Decreasing,"COVID impacts; AI offloading; projected -7 pts/gen.",Gouillou (2025); WHO Mental Health
2020s,2020-2025,USA,96,-2,Decreasing,"NAEP declines; eco-anxiety, screens.",Northwestern (2025); CDC Data
2020s,2020-2025,UK,93,-2,Decreasing,"Post-Brexit education gaps; digital fatigue.",UK Longitudinal (2024)
