ProductID,ProductName,Category,Price,UnitsSold,Rating
1,Product_1,Books,598.73,342,4.5
2,Product_2,Beauty,849.01,316,1.9
3,Product_3,Home & Kitchen,1305.19,101,2.4
4,Product_4,Beauty,887.34,244,1.3
5,Product_5,Beauty,1014.18,490,4.1
6,Product_6,Clothing,1496.97,12,2.6
7,Product_7,Home & Kitchen,949.53,239,4
8,Product_8,Home & Kitchen,4494.15,49,4.6
9,Product_9,Home & Kitchen,493.15,42,1.9
10,Product_10,Beauty,2670.11,166,4.2
11,Product_11,Books,2110.94,82,1.2
12,Product_12,Home & Kitchen,4913.66,429,4.6
13,Product_13,Sports,648.99,291,3.6
14,Product_14,Beauty,2049.49,158,4.5
15,Product_15,Clothing,4850.41,216,1
16,Product_16,Books,4340.98,490,1.7
17,Product_17,Sports,4103.65,158,2.6
18,Product_18,Sports,1363.72,462,2.5
19,Product_19,Clothing,937.35,134,1.9
20,Product_20,Books,3376.35,67,2.5
21,Product_21,Beauty,4653.94,336,1.5
22,Product_22,Electronics,2828.14,7,2.7
23,Product_23,Books,2900.9,436,4.2
24,Product_24,Clothing,1471.9,14,2.9
25,Product_25,Sports,3870.52,73,1.1
26,Product_26,Beauty,1016.51,399,2.7
27,Product_27,Books,1686.03,405,1.1
28,Product_28,Electronics,2184.64,163,4.9
29,Product_29,Electronics,2587.29,66,1.5
30,Product_30,Home & Kitchen,1287.81,347,3.8
31,Product_31,Home & Kitchen,662.7,130,4.9
32,Product_32,Clothing,3092.04,419,4.3
33,Product_33,Books,1514.29,466,3.8
34,Product_34,Books,2948.07,206,4.4
35,Product_35,Sports,856.38,276,4.9
36,Product_36,Sports,2457.59,466,3.5
37,Product_37,Sports,2709.69,256,3.2
38,Product_38,Home & Kitchen,353.94,266,3.5
39,Product_39,Books,1749.36,25,3.1
40,Product_40,Books,758.63,450,3.5
41,Product_41,Electronics,410.54,281,2.8
42,Product_42,Home & Kitchen,4950.81,253,1.9
43,Product_43,Beauty,1679.53,310,1.5
44,Product_44,Home & Kitchen,4068.38,289,1.3
45,Product_45,Beauty,1347.74,164,2.1
46,Product_46,Electronics,3439.36,95,1.2
47,Product_47,Clothing,3825.12,270,3.3
48,Product_48,Books,3018.63,321,2.1
49,Product_49,Electronics,2410.72,110,4.3
50,Product_50,Books,2118.02,336,1.3
51,Product_51,Sports,1809.45,310,1.9
52,Product_52,Clothing,4654.69,238,3.9
53,Product_53,Clothing,4170.04,381,3.4
54,Product_54,Electronics,4828.63,436,1.3
55,Product_55,Clothing,709.06,387,4.5
56,Product_56,Beauty,3681.25,483,4.5
57,Product_57,Clothing,4697.87,425,2.3
58,Product_58,Books,988.04,390,2.4
59,Product_59,Books,425.83,25,5
60,Product_60,Books,3731.49,141,3.5
61,Product_61,Books,2914.92,117,3.1
62,Product_62,Beauty,4224.96,482,4.4
63,Product_63,Home & Kitchen,784.88,392,2.1
64,Product_64,Sports,3996.81,405,2.7
65,Product_65,Electronics,1087.97,482,2.1
66,Product_66,Books,901.91,452,4.2
67,Product_67,Clothing,904.9,25,3.3
68,Product_68,Books,4091.42,79,3.6
69,Product_69,Clothing,3359.47,68,2
70,Product_70,Sports,2663.02,173,1.9
71,Product_71,Sports,1858.27,444,3
72,Product_72,Sports,4398.28,12,4
73,Product_73,Clothing,2022.98,288,3.1
74,Product_74,Books,4101.34,128,1.1
75,Product_75,Sports,2251.76,96,4.5
76,Product_76,Beauty,1947.03,92,1.3
77,Product_77,Clothing,2367.13,141,4.8
78,Product_78,Clothing,1576.75,31,1.1
79,Product_79,Books,3763.29,334,3.8
80,Product_80,Clothing,2563.33,20,1.3
81,Product_81,Clothing,1237.84,146,4.6
82,Product_82,Sports,4507.92,477,2.9
83,Product_83,Books,1981.07,316,1.6
84,Product_84,Sports,2763.41,447,2.4
85,Product_85,Sports,4541.71,390,1.7
86,Product_86,Books,3158.77,160,1.7
87,Product_87,Electronics,672.8,349,4.8
88,Product_88,Sports,4705.18,43,2.8
89,Product_89,Beauty,3175.77,254,4.2
90,Product_90,Beauty,1741.04,130,3.6
91,Product_91,Clothing,782.43,60,3.7
92,Product_92,Beauty,3990.72,151,1.5
93,Product_93,Clothing,3138.36,467,1.9
94,Product_94,Electronics,2713.96,287,4.1
95,Product_95,Books,4480.07,499,4.9
96,Product_96,Books,3964.13,5,2.1
97,Product_97,Books,843.21,467,2.1
98,Product_98,Beauty,1627.44,418,2.9
99,Product_99,Electronics,1317.6,266,4.9
100,Product_100,Beauty,3745.34,345,2.1
101,Product_101,Beauty,264.31,130,2.6
102,Product_102,Electronics,2892.46,382,4.6
103,Product_103,Electronics,3836.05,267,1
104,Product_104,Electronics,4396.15,178,1.2
105,Product_105,Electronics,1776.2,253,3.4
106,Product_106,Books,4124.16,415,4.6
107,Product_107,Home & Kitchen,642.1,56,2
108,Product_108,Home & Kitchen,4247.62,463,2.9
109,Product_109,Electronics,724.69,457,2.8
110,Product_110,Home & Kitchen,2046.71,471,2.9
111,Product_111,Home & Kitchen,4006.75,83,3.5
112,Product_112,Electronics,834.6,393,2.9
113,Product_113,Home & Kitchen,1223.33,99,2.8
114,Product_114,Beauty,3639.04,149,2.9
115,Product_115,Clothing,3628.18,329,3.4
116,Product_116,Clothing,3241.62,156,3.1
117,Product_117,Electronics,3500.35,190,4.4
118,Product_118,Books,2759.35,494,1.2
119,Product_119,Electronics,1333.82,371,4.3
120,Product_120,Books,1793.91,263,4.4
121,Product_121,Clothing,989.83,80,2.1
122,Product_122,Electronics,4551.41,400,2.9
123,Product_123,Sports,2958.62,252,2.8
124,Product_124,Beauty,2064.17,97,1.9
125,Product_125,Home & Kitchen,2363.83,260,2.6
126,Product_126,Books,4741.69,260,1.2
127,Product_127,Sports,851.42,103,2.1
128,Product_128,Home & Kitchen,2972.53,40,4.3
129,Product_129,Home & Kitchen,2578.85,273,2.1
130,Product_130,Electronics,3096.13,101,4.3
131,Product_131,Home & Kitchen,188.74,359,3.1
132,Product_132,Beauty,4373.41,380,4.5
133,Product_133,Sports,4667.38,308,3.3
134,Product_134,Home & Kitchen,2869.15,221,1.1
135,Product_135,Electronics,3513.59,308,3.7
136,Product_136,Beauty,4620.25,420,1.2
137,Product_137,Clothing,3565.47,124,2.8
138,Product_138,Sports,847.44,422,4.7
139,Product_139,Home & Kitchen,2923.81,231,1.7
140,Product_140,Electronics,3072.9,178,2.6
141,Product_141,Clothing,2178.24,63,3.9
142,Product_142,Clothing,3708.58,485,4.5
143,Product_143,Books,4678.4,116,3.7
144,Product_144,Beauty,4635.29,191,2
145,Product_145,Home & Kitchen,2309.11,62,3.7
146,Product_146,Electronics,654.87,256,2.2
147,Product_147,Books,4925.72,483,3.9
148,Product_148,Beauty,4210.6,7,4.8
149,Product_149,Books,710.85,155,3.9
150,Product_150,Sports,4612.13,92,4.5
151,Product_151,Beauty,4362.49,470,1
