client_id,age,region,months_with_bank,balance,transactions_last_month,mobile_app_logins,support_calls,has_credit,has_deposit,service_fee,churn
1,56,Kutaisi,10,1552.13,78,30,0,0,0,0,0
2,69,Tbilisi,96,9848.44,85,12,5,0,0,5,0
3,46,Tbilisi,98,13604.78,93,25,5,1,0,0,0
4,32,Other,48,2531.24,106,43,6,0,0,5,0
5,60,Other,20,14524.9,39,11,0,0,0,5,0
6,25,Batumi,39,6793.25,100,17,5,1,0,0,0
7,38,Other,60,14185.73,97,8,1,1,1,10,0
8,56,Batumi,66,10152.3,107,48,0,1,0,0,0
9,36,Rustavi,65,4523.8,59,20,5,1,0,0,0
10,40,Tbilisi,51,2824.54,97,47,7,0,0,10,0
11,28,Rustavi,36,4556.03,47,48,2,0,0,5,0
12,28,Other,24,1395.26,116,39,0,0,0,5,0
13,41,Rustavi,118,2158.02,98,42,6,0,0,5,0
14,70,Rustavi,27,1569.91,105,23,7,1,0,5,0
15,53,Rustavi,2,6344.15,18,33,7,1,0,5,0
16,57,Other,31,11933.68,71,7,3,1,1,0,0
17,41,Rustavi,57,2120.75,102,43,0,0,1,5,0
18,20,Batumi,78,1954.81,32,32,7,1,0,5,0
19,39,Other,66,9651.43,43,22,0,1,0,5,0
20,70,Rustavi,29,2957.74,91,12,0,0,1,10,0
21,19,Other,15,1464.15,36,48,5,1,0,0,0
22,41,Kutaisi,12,2502.73,111,13,0,0,0,5,0
23,61,Batumi,101,13855.97,88,13,3,0,1,0,0
24,47,Rustavi,28,12322.07,35,15,4,0,0,5,0
25,55,Kutaisi,84,5310.97,80,48,0,0,1,5,0
26,19,Kutaisi,103,9837.31,87,37,2,0,0,10,0
27,38,Other,24,8059.14,20,38,3,0,0,5,0
28,50,Kutaisi,21,10156.86,1,25,4,1,1,10,1
29,29,Batumi,10,10240.07,30,25,5,0,0,10,0
30,39,Batumi,110,9431.01,107,0,0,1,0,15,1
31,61,Tbilisi,78,3991.52,96,31,4,0,0,5,0
32,42,Batumi,101,585.1,29,14,2,0,1,15,0
33,66,Kutaisi,18,6833.5,75,20,3,0,0,0,0
34,44,Batumi,88,13364.61,43,17,3,0,0,0,0
35,59,Other,14,8542.46,11,29,5,0,0,5,0
36,45,Tbilisi,34,12485.87,50,12,5,0,0,15,1
37,33,Kutaisi,58,14874.37,48,23,5,0,0,5,0
38,32,Tbilisi,76,2454.24,115,29,4,0,0,0,0
39,64,Kutaisi,22,10376.66,23,1,0,1,1,5,1
40,68,Other,70,10114.4,23,18,1,0,0,5,0
41,61,Tbilisi,36,14699.33,59,46,7,0,0,0,0
42,72,Rustavi,45,14784.01,10,43,3,0,0,10,0
43,69,Kutaisi,36,10300.18,12,46,1,0,1,15,0
44,74,Rustavi,22,3654.22,90,24,6,0,0,10,1
45,20,Tbilisi,78,11978.34,71,49,3,1,0,0,0
46,54,Rustavi,80,1605.44,73,13,7,1,1,0,0
47,68,Rustavi,61,11710.49,71,5,5,0,0,0,0
48,24,Tbilisi,100,13652.94,63,11,7,0,0,0,0
49,38,Other,56,5742.5,19,19,0,0,0,0,0
50,26,Rustavi,89,9459.53,71,22,0,1,0,10,0
51,56,Rustavi,96,6452.14,72,29,3,0,0,0,0
52,35,Other,33,6566.48,70,29,4,0,1,10,0
53,21,Rustavi,45,4655.56,77,37,6,1,1,15,0
54,42,Rustavi,36,11431.94,27,29,7,1,0,0,0
55,31,Rustavi,20,14042.65,1,40,5,1,0,15,1
56,67,Batumi,18,14111.26,42,29,0,1,0,10,0
57,26,Other,38,2621.72,7,35,6,1,0,5,0
58,43,Rustavi,67,13121.15,12,48,6,0,0,0,0
59,70,Other,23,11061.47,84,33,0,0,1,5,0
