FREQ,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,Value,Year,Month
M,ABW,Aruba,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",68.479594,2000,1
M,ABW,Aruba,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",51.885615,2000,1
M,ABW,Aruba,FAO_CP_23014,Food price inflation,,2000,1
M,AFG,Afghanistan,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",16.17726,2000,1
M,AFG,Afghanistan,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",24.356332,2000,1
M,AFG,Afghanistan,FAO_CP_23014,Food price inflation,,2000,1
M,AGO,Angola,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",0.912855,2000,1
M,AGO,Angola,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",0.984584,2000,1
M,AGO,Angola,FAO_CP_23014,Food price inflation,,2000,1
M,AIA,Anguilla,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",63.817818,2000,1
M,AIA,Anguilla,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",57.565168,2000,1
M,AIA,Anguilla,FAO_CP_23014,Food price inflation,,2000,1
M,ALA,Aland Islands,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",78.042679,2000,1
M,ALA,Aland Islands,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",74.413062,2000,1
M,ALA,Aland Islands,FAO_CP_23014,Food price inflation,,2000,1
M,ALB,Albania,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",67.664848,2000,1
M,ALB,Albania,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",58.955214,2000,1
M,ALB,Albania,FAO_CP_23014,Food price inflation,,2000,1
M,AND,Andorra,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",71.971512,2000,1
M,AND,Andorra,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",69.750392,2000,1
M,AND,Andorra,FAO_CP_23014,Food price inflation,,2000,1
M,ANT,Netherlands Antilles,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",69.953081,2000,1
M,ARE,United Arab Emirates,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",53.149092,2000,1
M,ARE,United Arab Emirates,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",56.868875,2000,1
M,ARE,United Arab Emirates,FAO_CP_23014,Food price inflation,,2000,1
M,ARG,Argentina,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",22.291728,2000,1
M,ARG,Argentina,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",20.529937,2000,1
M,ARG,Argentina,FAO_CP_23014,Food price inflation,,2000,1
M,ARM,Armenia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",53.550293,2000,1
M,ARM,Armenia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",49.965123,2000,1
M,ARM,Armenia,FAO_CP_23014,Food price inflation,,2000,1
M,ATG,Antigua and Barbuda,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",72.874866,2000,1
M,ATG,Antigua and Barbuda,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",62.626933,2000,1
M,ATG,Antigua and Barbuda,FAO_CP_23014,Food price inflation,,2000,1
M,AUS,Australia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",64.361335,2000,1
M,AUS,Australia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",62.583136,2000,1
M,AUS,Australia,FAO_CP_23014,Food price inflation,,2000,1
M,AUT,Austria,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",73.462139,2000,1
M,AUT,Austria,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",69.37287,2000,1
M,AUT,Austria,FAO_CP_23014,Food price inflation,,2000,1
M,AZE,Azerbaijan,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",41.388382,2000,1
M,AZE,Azerbaijan,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.065792,2000,1
M,AZE,Azerbaijan,FAO_CP_23014,Food price inflation,,2000,1
M,BDI,Burundi,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",26.830501,2000,1
M,BDI,Burundi,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",27.796045,2000,1
M,BDI,Burundi,FAO_CP_23014,Food price inflation,,2000,1
M,BEL,Belgium,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",73.834623,2000,1
M,BEL,Belgium,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",68.261016,2000,1
M,BEL,Belgium,FAO_CP_23014,Food price inflation,,2000,1
M,BEN,Benin,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",65.67574,2000,1
M,BEN,Benin,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",59.576576,2000,1
M,BEN,Benin,FAO_CP_23014,Food price inflation,,2000,1
M,BFA,Burkina Faso,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",68.614587,2000,1
M,BFA,Burkina Faso,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",57.797036,2000,1
M,BFA,Burkina Faso,FAO_CP_23014,Food price inflation,,2000,1
M,BGD,Bangladesh,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",37.053727,2000,1
M,BGD,Bangladesh,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.533791,2000,1
M,BGD,Bangladesh,FAO_CP_23014,Food price inflation,,2000,1
M,BGR,Bulgaria,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",51.078004,2000,1
M,BGR,Bulgaria,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",53.75959,2000,1
M,BGR,Bulgaria,FAO_CP_23014,Food price inflation,,2000,1
M,BHR,Bahrain,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",75.830121,2000,1
M,BHR,Bahrain,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",69.801146,2000,1
M,BHR,Bahrain,FAO_CP_23014,Food price inflation,,2000,1
M,BHS,"Bahamas, The",FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",72.75804,2000,1
M,BHS,"Bahamas, The",FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",72.761815,2000,1
M,BHS,"Bahamas, The",FAO_CP_23014,Food price inflation,,2000,1
M,BIH,Bosnia and Herzegovina,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",72.574853,2000,1
M,BIH,Bosnia and Herzegovina,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",71.217526,2000,1
M,BIH,Bosnia and Herzegovina,FAO_CP_23014,Food price inflation,,2000,1
M,BLR,Belarus,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",2.979639,2000,1
M,BLR,Belarus,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",2.074318,2000,1
M,BLR,Belarus,FAO_CP_23014,Food price inflation,,2000,1
M,BLZ,Belize,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",74.780655,2000,1
M,BLZ,Belize,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",72.602386,2000,1
M,BLZ,Belize,FAO_CP_23014,Food price inflation,,2000,1
M,BMU,Bermuda,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",67.54617,2000,1
M,BMU,Bermuda,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",63.693781,2000,1
M,BMU,Bermuda,FAO_CP_23014,Food price inflation,,2000,1
M,BOL,Bolivia,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",45.962656,2000,1
M,BOL,Bolivia,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",36.854915,2000,1
M,BOL,Bolivia,FAO_CP_23014,Food price inflation,,2000,1
M,BRA,Brazil,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",37.097139,2000,1
M,BRA,Brazil,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",31.43961,2000,1
M,BRA,Brazil,FAO_CP_23014,Food price inflation,,2000,1
M,BRB,Barbados,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",56.873281,2000,1
M,BRB,Barbados,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",42.631503,2000,1
M,BRB,Barbados,FAO_CP_23014,Food price inflation,,2000,1
M,BRN,Brunei Darussalam,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",94.230652,2000,1
M,BRN,Brunei Darussalam,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",93.010078,2000,1
M,BRN,Brunei Darussalam,FAO_CP_23014,Food price inflation,,2000,1
M,BTN,Bhutan,FAO_CP_23012,"Consumer Prices, General Indices (2015 = 100)",41.059518,2000,1
M,BTN,Bhutan,FAO_CP_23013,"Consumer Prices, Food Indices (2015 = 100)",37.681808,2000,1
M,BTN,Bhutan,FAO_CP_23014,Food price inflation,,2000,1
